M,loss_db_per_arm,end_to_end_loss_db_midpoint,optimized_spacing_d,povm_scale_s,one_minus_s,s_less_than_one
8,0.89,1.78,1.82549924488,0.9999999999999751,2.4868995751603507e-14,0
8,0.9,1.8,1.83400133304,0.9999999999999836,1.6431300764452317e-14,0
8,0.91,1.82,1.84277680724,0.9999999999999782,2.1760371282653068e-14,0
8,0.92,1.84,1.85180375141,0.9999999999999751,2.4868995751603507e-14,0
8,0.93,1.86,1.86105953818,0.9999999999999725,2.7533531010703882e-14,0
8,0.94,1.88,1.87051503445,0.9999999999999851,1.4876988529977098e-14,0
8,0.95,1.9,1.88014032345,0.9999999999999636,3.6415315207705135e-14,0
8,0.96,1.92,1.8899064283,0.9999999999999687,3.1308289294429414e-14,0
8,0.97,1.94,0.526547860659,0.999996901808434,3.09819156596447e-06,1
8,0.98,1.96,0.523402654325,0.9999960124075405,3.9875924594534595e-06,1
8,0.99,1.98,0.52049344656,0.9999977925702732,2.2074297267860032e-06,1
8,1.0,2.0,0.516813353217,0.9999976530201676,2.346979832368312e-06,1
8,1.01,2.02,0.513756660534,0.9999977566129244,2.243387075551162e-06,1
8,1.02,2.04,0.510793983958,0.9999968261565224,3.173843477588534e-06,1
8,1.03,2.06,0.507997600145,0.9999968862426866,3.1137573134332186e-06,1
8,1.04,2.08,0.505689443302,0.999995851969363,4.1480306369745534e-06,1
8,1.05,2.1,0.501735946795,0.9999915772255652,8.422774434801994e-06,1
8,1.1,2.2,0.479998814547,0.9999976767917907,2.323208209253913e-06,1
8,1.2,2.4,0.448901999031,0.9999981965579098,1.8034420902202086e-06,1
8,1.3,2.6,0.431635576364,0.9999978067980437,2.193201956268709e-06,1
8,1.4,2.8,0.417293238536,0.999998364440044,1.6355599560258227e-06,1
8,1.5,3.0,0.40450168377,0.9999985239242674,1.4760757326426344e-06,1
8,1.6,3.2,0.393658312744,0.9999956141121361,4.38588786388916e-06,1
8,1.7,3.4,0.38304164895,0.9999985254162044,1.4745837956242625e-06,1
8,1.8,3.6,0.374108835099,0.9999971805016781,2.819498321926517e-06,1
8,1.9,3.8,0.365877426122,0.9999963238782047,3.676121795304077e-06,1
8,2.0,4.0,0.358225517582,0.9999968953743887,3.1046256112610138e-06,1
8,2.5,5.0,0.328664465457,0.9999980756473291,1.9243526708789815e-06,1
8,3.0,6.0,0.307758992746,0.9999989791569218,1.0208430781810662e-06,1
8,3.5,7.0,0.291884398486,0.9999943258838486,5.674116151377362e-06,1
8,4.0,8.0,0.279297736006,0.999998775922049,1.2240779510008792e-06,1
8,4.5,9.0,0.269109225503,0.9999980105831593,1.9894168407086354e-06,1
8,5.0,10.0,0.261218279225,0.9999966992705069,3.3007294930609277e-06,1
8,5.5,11.0,0.255400933494,0.9999998660464322,1.3395356779355438e-07,1
8,6.0,12.0,0.250458912221,0.9999996865536299,3.134463700815715e-07,1
8,6.5,13.0,0.246310248883,0.9999998365513779,1.6344862208139688e-07,1
8,7.0,14.0,0.242830421037,0.9999990060061817,9.939938182546015e-07,1
8,7.5,15.0,0.239641845528,0.9999977109528938,2.2890471061964845e-06,1
8,8.0,16.0,0.23724977249,0.9999983380461969,1.66195380313372e-06,1
8,8.5,17.0,0.234884871765,0.9999975698580924,2.4301419075944963e-06,1
8,9.0,18.0,0.232979612352,0.9999976844631533,2.31553684670871e-06,1
8,9.5,19.0,0.231344878228,0.9999986571608008,1.3428391991698874e-06,1
8,10.0,20.0,0.229991251943,0.9999965035942324,3.496405767577926e-06,1
16,0.0,0.0,5.55549470294,0.9999999999999083,9.170442183403793e-14,0
16,0.01,0.02,2.09309298649,0.9999999999987832,1.2168044349891716e-12,0
16,0.02,0.04,1.98459320441,0.9999999999995706,4.2943426592501055e-13,0
